TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10004,001,2025-08-23,8,49,0,2025-08-23 08:49:00,CGCA231160041,False
10004,001,2025-08-23,16,55,1,2025-08-23 16:55:00,WED3240401322,False
10004,001,2025-08-25,7,52,0,2025-08-25 07:52:00,CGCA231160041,False
10004,001,2025-08-25,16,15,1,2025-08-25 16:15:00,WED3240401322,False
10004,001,2025-08-26,7,57,0,2025-08-26 07:57:00,CGCA231160041,False
10004,001,2025-08-26,16,12,1,2025-08-26 16:12:00,WED3240401322,False
10004,001,2025-08-28,8,6,0,2025-08-28 08:06:00,CGCA231160041,False
10004,001,2025-08-28,16,15,1,2025-08-28 16:15:00,WED3240401322,False
10004,001,2025-08-29,7,51,0,2025-08-29 07:51:00,CGCA231160041,False
10004,001,2025-08-29,16,21,1,2025-08-29 16:21:00,WED3240401322,False
10004,001,2025-08-30,7,42,0,2025-08-30 07:42:00,CGCA231160041,False
10004,001,2025-08-30,16,29,1,2025-08-30 16:29:00,WED3240401322,False
10004,001,2025-09-16,7,57,0,2025-09-16 07:57:00,CGCA231160041,False
10006,001,2025-08-01,7,20,0,2025-08-01 07:20:00,CGCA231160041,False
10006,001,2025-08-01,15,33,1,2025-08-01 15:33:00,WED3240401322,False
10006,001,2025-08-02,7,19,0,2025-08-02 07:19:00,CGCA231160041,False
10006,001,2025-08-02,15,30,1,2025-08-02 15:30:00,WED3240401322,False
10006,001,2025-08-03,7,28,0,2025-08-03 07:28:00,CGCA231160041,False
10006,001,2025-08-04,7,36,0,2025-08-04 07:36:00,CGCA231160041,False
10006,001,2025-08-04,15,34,1,2025-08-04 15:34:00,WED3240401322,False
10006,001,2025-08-05,7,45,0,2025-08-05 07:45:00,CGCA231160041,False
10006,001,2025-08-05,15,37,1,2025-08-05 15:37:00,WED3240401322,False
10006,001,2025-08-06,7,30,0,2025-08-06 07:30:00,CGCA231160041,False
10006,001,2025-08-06,15,33,1,2025-08-06 15:33:00,WED3240401322,False
10006,001,2025-08-07,7,28,0,2025-08-07 07:28:00,CGCA231160041,False
10006,001,2025-08-07,15,31,1,2025-08-07 15:31:00,WED3240401322,False
10006,001,2025-08-08,7,43,0,2025-08-08 07:43:00,CGCA231160041,False
10006,001,2025-08-08,15,33,1,2025-08-08 15:33:00,WED3240401322,False
10006,001,2025-08-09,7,21,0,2025-08-09 07:21:00,CGCA231160041,False
10006,001,2025-08-09,15,32,1,2025-08-09 15:32:00,WED3240401322,False
10006,001,2025-08-11,7,27,0,2025-08-11 07:27:00,CGCA231160041,False
10006,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322,False
10006,001,2025-08-12,7,24,0,2025-08-12 07:24:00,CGCA231160041,False
10006,001,2025-08-12,15,31,1,2025-08-12 15:31:00,WED3240401322,False
10006,001,2025-08-13,7,19,0,2025-08-13 07:19:00,CGCA231160041,False
10006,001,2025-08-13,15,32,1,2025-08-13 15:32:00,WED3240401322,False
10006,001,2025-08-14,7,22,0,2025-08-14 07:22:00,CGCA231160041,False
10006,001,2025-08-14,15,31,1,2025-08-14 15:31:00,WED3240401322,False
10006,001,2025-08-16,7,21,0,2025-08-16 07:21:00,CGCA231160041,False
10006,001,2025-08-16,15,30,1,2025-08-16 15:30:00,WED3240401322,False
10006,001,2025-08-18,7,15,0,2025-08-18 07:15:00,CGCA231160041,False
10006,001,2025-08-18,15,33,1,2025-08-18 15:33:00,WED3240401322,False
10006,001,2025-08-19,7,19,0,2025-08-19 07:19:00,CGCA231160041,False
10006,001,2025-08-19,15,32,1,2025-08-19 15:32:00,WED3240401322,False
10006,001,2025-08-20,7,14,0,2025-08-20 07:14:00,CGCA231160041,False
10006,001,2025-08-20,15,33,1,2025-08-20 15:33:00,WED3240401322,False
10006,001,2025-08-21,7,15,0,2025-08-21 07:15:00,CGCA231160041,False
10006,001,2025-08-21,15,35,1,2025-08-21 15:35:00,WED3240401322,False
10006,001,2025-08-22,7,56,0,2025-08-22 07:56:00,CGCA231160041,False
10006,001,2025-08-22,15,53,1,2025-08-22 15:53:00,WED3240401322,False
10006,001,2025-08-29,7,9,0,2025-08-29 07:09:00,CGCA231160041,False
10006,001,2025-08-29,15,31,1,2025-08-29 15:31:00,WED3240401322,False
10006,001,2025-08-30,7,13,0,2025-08-30 07:13:00,CGCA231160041,False
10006,001,2025-08-30,15,31,1,2025-08-30 15:31:00,WED3240401322,False
10006,001,2025-09-16,7,19,0,2025-09-16 07:19:00,CGCA231160041,False
10007,001,2025-08-01,7,23,0,2025-08-01 07:23:00,CGCA231160041,False
10007,001,2025-08-01,15,33,1,2025-08-01 15:33:00,WED3240401322,False
10007,001,2025-08-02,7,26,0,2025-08-02 07:26:00,CGCA231160041,False
10007,001,2025-08-02,15,31,1,2025-08-02 15:31:00,WED3240401322,False
10007,001,2025-08-04,7,25,0,2025-08-04 07:25:00,CGCA231160041,False
10007,001,2025-08-04,15,34,1,2025-08-04 15:34:00,WED3240401322,False
10007,001,2025-08-05,7,31,0,2025-08-05 07:31:00,CGCA231160041,False
10007,001,2025-08-05,15,30,1,2025-08-05 15:30:00,WED3240401322,False
10007,001,2025-08-06,7,31,0,2025-08-06 07:31:00,CGCA231160041,False
10007,001,2025-08-06,15,33,1,2025-08-06 15:33:00,WED3240401322,False
10007,001,2025-08-07,7,32,0,2025-08-07 07:32:00,CGCA231160041,False
10007,001,2025-08-07,15,32,1,2025-08-07 15:32:00,WED3240401322,False
10007,001,2025-08-08,7,28,0,2025-08-08 07:28:00,CGCA231160041,False
10007,001,2025-08-08,15,32,1,2025-08-08 15:32:00,WED3240401322,False
10007,001,2025-08-09,7,21,0,2025-08-09 07:21:00,CGCA231160041,False
10007,001,2025-08-09,15,31,1,2025-08-09 15:31:00,WED3240401322,False
10007,001,2025-08-11,7,36,0,2025-08-11 07:36:00,CGCA231160041,False
10007,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322,False
10007,001,2025-08-12,7,33,0,2025-08-12 07:33:00,CGCA231160041,False
10007,001,2025-08-12,15,34,1,2025-08-12 15:34:00,WED3240401322,False
10007,001,2025-08-13,7,29,0,2025-08-13 07:29:00,CGCA231160041,False
10007,001,2025-08-13,15,33,1,2025-08-13 15:33:00,WED3240401322,False
10007,001,2025-08-14,7,26,0,2025-08-14 07:26:00,CGCA231160041,False
10007,001,2025-08-14,15,31,1,2025-08-14 15:31:00,WED3240401322,False
10007,001,2025-08-16,7,27,0,2025-08-16 07:27:00,CGCA231160041,False
10007,001,2025-08-16,15,30,1,2025-08-16 15:30:00,WED3240401322,False
10007,001,2025-08-18,7,30,0,2025-08-18 07:30:00,CGCA231160041,False
10007,001,2025-08-18,15,35,1,2025-08-18 15:35:00,WED3240401322,False
10007,001,2025-08-19,7,23,0,2025-08-19 07:23:00,CGCA231160041,False
10007,001,2025-08-19,15,32,1,2025-08-19 15:32:00,WED3240401322,False
10007,001,2025-08-20,7,22,0,2025-08-20 07:22:00,CGCA231160041,False
10007,001,2025-08-20,15,32,1,2025-08-20 15:32:00,WED3240401322,False
10007,001,2025-08-21,7,24,0,2025-08-21 07:24:00,CGCA231160041,False
