TOKEN,PDATE,PDTIME,MCIP
8019,2024-04-01,2024-04-01 09:11:00,CGCA222560183
11549,2024-04-01,2024-04-01 09:13:00,CGCA201262943
8252,2024-04-01,2024-04-01 09:13:00,CGCA222560176
167,2024-04-01,2024-04-01 09:18:00,CGCA222560183
11031,2024-04-01,2024-04-01 09:20:00,CGCA222560155
8151,2024-04-01,2024-04-01 09:20:00,CGCA222560176
8270,2024-04-01,2024-04-01 09:23:00,CGCA222560176
11271,2024-04-01,2024-04-01 09:27:00,CGCA222560023
8193,2024-04-01,2024-04-01 09:27:00,CGCA222560176
11295,2024-04-01,2024-04-01 09:28:00,CGCA222560023
8258,2024-04-01,2024-04-01 09:28:00,CGCA222560176
8254,2024-04-01,2024-04-01 09:31:00,CGCA222560176
9001,2024-04-01,2024-04-01 09:32:00,CGCA222560183
2025,2024-04-01,2024-04-01 09:32:00,CGCA222560183
6009,2024-04-01,2024-04-01 09:33:00,CGCA222560176
215,2024-04-01,2024-04-01 09:33:00,CGCA222560183
11522,2024-04-01,2024-04-01 09:33:00,CGCA222560155
11527,2024-04-01,2024-04-01 09:35:00,CGCA222560183
5,2024-04-01,2024-04-01 09:36:00,CGCA222560183
11502,2024-04-01,2024-04-01 09:37:00,CGCA222560155
11369,2024-04-01,2024-04-01 09:41:00,CGCA222560155
11142,2024-04-01,2024-04-01 09:41:00,CGCA222560175
11502,2024-04-01,2024-04-01 09:41:00,CGCA222560155
6083,2024-04-01,2024-04-01 09:42:00,CGCA222560176
8157,2024-04-01,2024-04-01 09:43:00,CGCA222560176
8214,2024-04-01,2024-04-01 09:46:00,CGCA222560176
3012,2024-04-01,2024-04-01 09:49:00,CGCA222560183
3004,2024-04-01,2024-04-01 09:49:00,CGCA222560183
8200,2024-04-01,2024-04-01 09:51:00,CGCA222560183
4086,2024-04-01,2024-04-01 09:52:00,CGCA222560183
3013,2024-04-01,2024-04-01 09:52:00,CGCA222560183
3011,2024-04-01,2024-04-01 09:52:00,CGCA222560183
200,2024-04-01,2024-04-01 09:52:00,CGCA222560183
11522,2024-04-01,2024-04-01 09:59:00,CGCA222560155
11546,2024-04-01,2024-04-01 09:59:00,CGCA222560155
6058,2024-04-01,2024-04-01 10:01:00,CGCA222560176
11321,2024-04-01,2024-04-01 10:02:00,CGCA222560175
11495,2024-04-01,2024-04-01 10:02:00,CGCA201262943
11325,2024-04-01,2024-04-01 10:02:00,CGCA222560175
11042,2024-04-01,2024-04-01 10:06:00,CGCA222560155
8240,2024-04-01,2024-04-01 10:08:00,CGCA222560183
11446,2024-04-01,2024-04-01 10:09:00,CGCA222560155
3014,2024-04-01,2024-04-01 10:09:00,CGCA222560183
192,2024-04-01,2024-04-01 10:15:00,CGCA222560183
11023,2024-04-01,2024-04-01 10:17:00,CGCA222560175
10010,2024-04-01,2024-04-01 10:18:00,CGCA222560183
11511,2024-04-01,2024-04-01 10:18:00,CGCA222560155
8090,2024-04-01,2024-04-01 10:19:00,CGCA222560183
3007,2024-04-01,2024-04-01 10:20:00,CGCA222560183
6043,2024-04-01,2024-04-01 10:21:00,CGCA222560183
2011,2024-04-01,2024-04-01 10:21:00,CGCA222560183
11306,2024-04-01,2024-04-01 10:21:00,CGCA201262943
33,2024-04-01,2024-04-01 10:21:00,CGCA222560183
11130,2024-04-01,2024-04-01 10:22:00,CGCA201262943
209,2024-04-01,2024-04-01 10:23:00,CGCA222560183
2024,2024-04-01,2024-04-01 10:34:00,CGCA222560183
11023,2024-04-01,2024-04-01 10:37:00,CGCA222560175
6069,2024-04-01,2024-04-01 10:46:00,CGCA222560183
4107,2024-04-01,2024-04-01 10:50:00,CGCA222560183
11424,2024-04-01,2024-04-01 11:26:00,CGCA222560155
2023,2024-04-01,2024-04-01 11:29:00,CGCA222560183
11424,2024-04-01,2024-04-01 11:32:00,CGCA222560155
3023,2024-04-01,2024-04-01 11:40:00,CGCA222560155
11020,2024-04-01,2024-04-01 11:52:00,CGCA201262943
11156,2024-04-01,2024-04-01 12:21:00,CGCA222560155
11156,2024-04-01,2024-04-01 12:40:00,CGCA222560155
8029,2024-04-01,2024-04-01 12:48:00,CGCA222560176
11555,2024-04-01,2024-04-01 12:55:00,CGCA222560023
11143,2024-04-01,2024-04-01 12:56:00,CGCA222560155
11143,2024-04-01,2024-04-01 13:00:00,CGCA222560155
11156,2024-04-01,2024-04-01 13:12:00,CGCA222560155
11564,2024-04-01,2024-04-01 13:14:00,CGCA222560023
11156,2024-04-01,2024-04-01 13:19:00,CGCA222560155
11549,2024-04-01,2024-04-01 13:33:00,CGCA201262943
11156,2024-04-01,2024-04-01 13:47:00,CGCA222560155
11156,2024-04-01,2024-04-01 13:52:00,CGCA222560155
11018,2024-04-01,2024-04-01 13:56:00,CGCA222560023
8014,2024-04-01,2024-04-01 14:08:00,CGCA222560176
8010,2024-04-01,2024-04-01 14:08:00,CGCA222560176
8152,2024-04-01,2024-04-01 14:08:00,CGCA222560176
8266,2024-04-01,2024-04-01 14:08:00,CGCA222560176
8169,2024-04-01,2024-04-01 14:08:00,CGCA222560176
6059,2024-04-01,2024-04-01 14:09:00,CGCA222560176
8006,2024-04-01,2024-04-01 14:09:00,CGCA222560176
8249,2024-04-01,2024-04-01 14:09:00,CGCA222560176
6003,2024-04-01,2024-04-01 14:10:00,CGCA222560176
8248,2024-04-01,2024-04-01 14:10:00,CGCA222560176
8009,2024-04-01,2024-04-01 14:10:00,CGCA222560176
8267,2024-04-01,2024-04-01 14:10:00,CGCA222560176
8204,2024-04-01,2024-04-01 14:10:00,CGCA222560176
8257,2024-04-01,2024-04-01 14:10:00,CGCA222560176
6039,2024-04-01,2024-04-01 14:11:00,CGCA222560176
8238,2024-04-01,2024-04-01 14:11:00,CGCA222560176
8282,2024-04-01,2024-04-01 14:11:00,CGCA222560176
8215,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8265,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8256,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8234,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8260,2024-04-01,2024-04-01 14:12:00,CGCA222560176
6057,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8274,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8058,2024-04-01,2024-04-01 14:12:00,CGCA222560176
8051,2024-04-01,2024-04-01 14:13:00,CGCA222560176
8213,2024-04-01,2024-04-01 14:13:00,CGCA222560176
8068,2024-04-01,2024-04-01 14:13:00,CGCA222560176
8118,2024-04-01,2024-04-01 14:13:00,CGCA222560176
6004,2024-04-01,2024-04-01 14:15:00,CGCA222560176
8034,2024-04-01,2024-04-01 14:15:00,CGCA222560176
8170,2024-04-01,2024-04-01 14:15:00,CGCA222560176
8194,2024-04-01,2024-04-01 14:16:00,CGCA222560176
4029,2024-04-01,2024-04-01 14:17:00,CGCA222560183
4018,2024-04-01,2024-04-01 14:17:00,CGCA222560183
